city_more_100k
Moscow
Saint Petersburg
Novosibirsk
Ekaterinburg
Nizhny Novgorod
Kazan
Chelyabinsk
Omsk
Samara
Rostov-on-Don
Ufa
Krasnoyarsk
Voronezh
Perm
Volgograd
Krasnodar
Saratov
Tyumen
Togliatti
Izhevsk
Barnaul
Ulyanovsk
Irkutsk
Khabarovsk
Yaroslavl
Vladivostok
Makhachkala
Tomsk
Orenburg
Kemerovo
Novokuznetsk
Ryazan
Astrakhan
Naberezhnye Chelny
Penza
Kirov
Lipetsk
Cheboksary
Balashikha
Kaliningrad
Tula
Kursk
Sevastopol
Sochi
Stavropol
Ulan-Ude
Tver
Magnitogorsk
Bryansk
Ivanovo
Belgorod
Surgut
Vladimir
Nizhny Tagil
Chita
Arkhangelsk
Simferopol
Kaluga
Smolensk
Volga
Saransk
Yakutsk
Cherepovets
Kurgan
Vologda
Orel
Vladikavkaz
Podolsk
Grozny
Murmansk
Tambov
Petrozavodsk
Sterlitamak
Nizhnevartovsk
Kostroma
Novorossiysk
Yoshkar-Ola
Khimki
Taganrog
Komsomolsk-on-Amur
Syktyvkar
Nalchik
Nizhnekamsk
Shakhty
Dzerzhinsk
Orsk
Bratsk
Blagoveshchensk
Engels
Angarsk
Korolev
Veliky Novgorod
Stary Oskol
Mytishchi
Pskov
Lyubertsy
Biysk
Yuzhno-Sakhalinsk
Prokopyevsk
Armavir
Balakovo
Rybinsk
Abakan
Severodvinsk
Norilsk
Petropavlovsk-Kamchatsky
Ussuriysk
Volgodonsk
Krasnogorsk
Syzran
Kamensk-Uralskiy
Novocherkassk
Zlatoust
Almetyevsk
Elektrostal
Salavat
Kerch
Miass
Kopeysk
Nakhodka
Pyatigorsk
Rubtsovsk
Khasavyurt
Berezniki
Kolomna
Maykop
Odintsovo
Kovrov
Domodedovo
Kislovodsk
Neftekamsk
Bataysk
Nefteyugansk
Novocheboksarsk
Derbent
Serpukhov
Schelkovo
Novomoskovsk
Cherkessk
Pervouralsk
Nazran
Ramenskoye
Kaspiysk
Kyzyl
Obninsk
Orekhovo-Zuyevo
Nevinnomyssk
Novy Urengoy
Dimitrovgrad
Oktyabrsk
Dolgoprudny
Essentuki
Kamyshin
Evpatoria
Zhukovsky
Murom
Novoshakhtinsk
Pushkino
Reutov
Seversk
Artem
Noyabrsk
Achinsk
Arzamas
Berdsk
Yelets
Elista
Noginsk
Sergiev Posad
Novokuibyshevsk
Zheleznogorsk
